chembl_id,smiles,standard_value,bioactivity
CHEMBL45764,Nc1cc2nc(O)c3ccccc3c2cc1N,180.0,active
CHEMBL419245,NC(=O)c1cccc(Cl)c1,22000.0,inactive
CHEMBL1767058,O=C(Nc1cccc2c(=O)[nH]ccc12)c1cccs1,22400.0,inactive
CHEMBL1094953,NC(=O)c1cccc2cn(-c3cccc(Cl)c3)nc12,14.0,active
CHEMBL418816,O=C(CCn1c2c(c(=O)[nH]c1=O)CCC2)NCC(=O)N1CCN(c2ncccn2)CC1,3000.0,intermediate
CHEMBL492470,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)N2CCOCC2)CC1,8.0,active
CHEMBL523686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2ncccn2)CC1,3.0,active
CHEMBL494874,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCN(C(=O)N2CCOCC2)CC1,8.0,active
CHEMBL188949,Oc1nc(CCCN2CCCCC2)nc2ccccc12,1100.0,intermediate
CHEMBL1094960,CNC(C)c1ccc(-n2cc3cccc(C(N)=O)c3n2)cc1,3.7,active
CHEMBL2347902,NC(=O)c1cncc2[nH]c(C3CCCNC3)nc12,636.0,active
CHEMBL2347901,NC(=O)c1cncc2[nH]c(C3CCNCC3)nc12,825.0,active
CHEMBL481511,N#Cc1ccc(C2=CCN(CCCc3nc4c(Cl)cccc4c(=O)[nH]3)CC2)cc1,3.0,active
CHEMBL481793,C=Cc1cnc2c(C(N)=O)cccc2c1,5800.0,intermediate
CHEMBL1173518,O=c1[nH]ccc2c(Br)cccc12,270.0,active
CHEMBL123205,CN(C)c1cccc(C(N)=O)c1,120000.0,inactive
CHEMBL540525,O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,30.0,active
CHEMBL84979,Oc1nc2c(c3ccccc13)CNCC2,35.0,active
CHEMBL551657,Cc1cc2[nH]c(=O)c3ccccc3n2n1,300.0,active
CHEMBL550041,O=C(c1cccc(-c2cc3[nH]c(=O)c4ccccc4n3n2)c1)N1CCN2CCCC2C1,500.0,active
CHEMBL553004,CCc1ccc(-c2cc3[nH]c(=O)c4ccccc4n3n2)cc1,500.0,active
CHEMBL550787,O=c1[nH]c2cc(-c3cccs3)nn2c2ccccc12,150.0,active
CHEMBL571223,O=c1[nH]c2cc(-c3ccccc3)nn2c2ccccc12,100.0,active
CHEMBL551916,COc1cccc(-c2cc3[nH]c(=O)c4ccccc4n3n2)c1OC,100.0,active
CHEMBL83432,O=S(=O)(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,349.0,active
CHEMBL204898,O=C(NCCN1CCOCC1)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,162.0,active
CHEMBL1652713,O=c1[nH]c2cc(CO)ccc2c2sccc12,400.0,active
CHEMBL2237230,O=C(NCCN1CCN(c2ccccc2)CC1)c1ccc2[nH]c(=O)c3c(c2c1)CCSC3,166.0,active
CHEMBL2237236,NCCCCNC(=O)c1ccc2[nH]c(=O)c3c(c2c1)CCSC3,27.0,active
CHEMBL473036,Nc1ncnc2c1ncn2C1OC(COCNC(=O)CCC(=O)Nc2cccc3c2CNC3=O)C(O)C1O,100.0,active
CHEMBL4159134,Cc1ccc(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)cc(F)c3F)CC2)cc1,29.1,active
CHEMBL4169337,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(F)cc2)CC1,0.4,active
CHEMBL4162862,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Br)cc2)CC1,83.4,active
CHEMBL432211,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc2ccccc2c1,25.0,active
CHEMBL4087554,CC(C)(C)OC(=O)N1CCC(C(=O)Nc2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2Br)C1,346.0,active
CHEMBL448447,CCOC(=O)CCC(=O)Nc1nc2c(s1)CCCC2,12399.0,inactive
CHEMBL480234,O=c1[nH]c2ccc(CCN3CC=C(c4ccccc4)CC3)cc2c2ccccc12,46.0,active
CHEMBL192951,O=C(CN1CCOCC1)Nc1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,400.0,active
CHEMBL4083109,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)C1CCNC1,13.7,active
CHEMBL4171154,NC(=O)c1cccc2[nH]c(-c3cccc(Nc4c5ccccc5nc5ccccc45)c3)nc12,1390.0,intermediate
CHEMBL1092777,CCN1CCCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,25.0,active
CHEMBL1093610,CN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,80.0,active
CHEMBL365235,Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2cccc(F)c12,16.0,active
CHEMBL186186,Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2ccc(Cl)cc12,27.0,active
CHEMBL203982,O=C1NCc2c1c1c(c3[nH]c4ccc(C(=O)N5CCOCC5)cc4c23)CCC1,83.0,active
CHEMBL383442,N#Cc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,18.0,active
CHEMBL383716,O=C1NCc2c1c1c(c3[nH]c4ccc(Br)cc4c23)CCC1,30.0,active
CHEMBL186380,Oc1nc(CCCN2CCC3=C(CCc4ccccc43)C2)nc2ccccc12,12.0,active
CHEMBL3291320,CN(C)CCNC(=O)c1cc2[nH]c(=O)c3ccccc3c2n1C,1100.0,intermediate
CHEMBL3291324,Cn1c(C(=O)N2CCCNCC2)c(Br)c2[nH]c(=O)c3ccccc3c21,100.0,active
CHEMBL3963921,O=c1[nH]nc2c3c(c(Br)ccc13)NC1=C2CCCCC1,67.0,active
CHEMBL108849,Oc1nc2ccccc2c2ccncc12,2600.0,intermediate
CHEMBL3917574,CN(C)CCn1c2c3c4c(cc(F)cc41)C(=O)NN=C3CN(C(=O)C1CC1)C2,18.0,active
CHEMBL4177509,CC(C)(C)OC(=O)N1CCC2(CC1)CCN(C(=O)c1cc(Cc3n[nH]c(=O)c4ccccc34)ccc1F)CC2,452.8,active
CHEMBL594836,CNCc1ccc(-n2cc3cc(F)cc(C(N)=O)c3n2)c(F)c1,6.0,active
CHEMBL563236,O=C(c1cc2[nH]c(=O)c3ccccc3n2n1)N1CCN2CCCC2C1,600.0,active
CHEMBL552319,CN(C)CCN(C)C(=O)c1cccc(-c2cc3[nH]c(=O)c4ccccc4n3n2)c1,800.0,active
