chembl_id,smiles,standard_value,bioactivity,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1652712,NC(=O)c1ccc2c(c1)[nH]c(=O)c1ccsc12,60.0,active,244.27499999999998,1.8417,2.0,3.0
CHEMBL493498,CCS(=O)(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,12.0,active,440.5250000000002,1.621399999999999,1.0,5.0
CHEMBL495483,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCCN(Cc2ccccc2)CC1,18.0,active,452.55800000000033,3.8620000000000028,1.0,4.0
CHEMBL521815,CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,13.0,active,380.4230000000001,2.0405999999999995,1.0,4.0
CHEMBL46196,COC(=O)c1ccc2c(c1)nc(O)c1cc(F)ccc12,37.0,active,271.247,3.019300000000001,1.0,4.0
CHEMBL1767061,Cc1cc2c(NC(=O)c3ccccc3)cccc2c(=O)[nH]1,16600.0,inactive,278.31100000000004,3.08882,2.0,2.0
CHEMBL1767066,Nc1cccc2c(=O)n(CCC(=O)O)ccc12,550.0,active,232.23899999999998,1.0584,2.0,4.0
CHEMBL397399,CC(C)(C)OC(=O)Cc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,29.0,active,473.5540000000003,4.701100000000004,2.0,6.0
CHEMBL361054,O=c1[nH]c(=O)n(CCCCN2CC=C(c3ccccc3)CC2)c2cccc(F)c12,60.0,active,393.46200000000016,3.3984000000000014,1.0,4.0
CHEMBL3764190,CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1,2.63,active,396.4940000000001,4.283400000000003,2.0,4.0
CHEMBL480227,O=C1NCCn2c(CN3CCCCC3)cc3cccc1c32,109.0,active,283.375,2.3705999999999996,1.0,3.0
CHEMBL481403,CCOC(=O)c1ccc(CCc2nc3cccc4c3n2CCNC4=O)cc1,97.0,active,363.4170000000001,2.741600000000001,1.0,5.0
CHEMBL559385,O=C(c1cc2[nH]c(=O)c3ccccc3n2n1)N1CCC(CN2CCOCC2)CC1,1100.0,intermediate,395.4630000000003,1.3601999999999999,1.0,6.0
CHEMBL109064,Oc1nc2ccccc2c2ncccc12,2900.0,intermediate,196.20899999999997,2.4886,1.0,3.0
CHEMBL298053,O=C([O-])c1ccc2c(c1)nc(O)c1cc(F)ccc12,21.0,active,256.212,1.5961999999999998,1.0,4.0
CHEMBL421605,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc(Br)cc1,80.0,active,434.29,1.5670999999999995,2.0,5.0
CHEMBL107659,CN1CC2CC1CN2c1ccc2nc(O)c3ccccc3c2n1,51.0,active,306.3690000000001,2.3813000000000004,1.0,5.0
CHEMBL449084,COc1ccc(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CCCC3)cc1,300.0,active,385.4200000000002,0.8132000000000001,2.0,6.0
CHEMBL3644561,O=c1[nH]nc2c3c(cccc13)N=C(CN1CCN(c3ccccc3)CC1)N2,23.0,active,360.42100000000005,2.2007999999999996,2.0,6.0
CHEMBL3644567,O=c1[nH]nc2c3c(cccc13)N=C(CNCc1ccc(Cl)c(Cl)c1)N2,18.0,active,374.231,3.475200000000001,3.0,5.0
CHEMBL3644579,O=C(c1ccccc1C(F)(F)F)N1CCCN(CC2=Nc3cccc4c(=O)[nH]nc(c34)N2)CC1,43.0,active,470.45500000000015,3.2455000000000007,2.0,6.0
CHEMBL3593993,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(-c4ccc(NC(=O)C5CC5)cc4F)cc3F)nc12,84.0,active,450.4200000000002,4.761600000000002,3.0,3.0
CHEMBL362762,Oc1nc(CCCN2CC=C(c3ccc(-c4ccccc4)cc3)CC2)nc2ccccc12,34.0,active,421.5440000000002,5.724300000000006,1.0,4.0
