molecule_chembl_id,canonical_smiles,standard_type,relation,standard_value,standard_units
CHEMBL325336,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,IC50,'=',900.0,nM
CHEMBL108702,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,EC50,'=',70.0,nM
CHEMBL365390,O=S(=O)(NCCCc1ccccc1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,EC50,,,nM
CHEMBL189695,O=S(=O)(NCCCNN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,IC50,'=',450.0,nM
CHEMBL371205,COc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1N1C(=O)CCC1=O,IC50,'=',33.0,nM
CHEMBL370217,O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,IC50,'=',4.1,nM
CHEMBL420964,O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,IC50,'=',243.0,nM
CHEMBL4168250,Cc1ccc2nc3ccccc3c(Nc3cccc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)c2c1,IC50,'=',510.0,nM
CHEMBL495975,NC(=O)c1cccc2[nH]c(C3CCCCN3)nc12,Ki,'=',25.0,nM
CHEMBL521880,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,Ki,'=',4.0,nM
CHEMBL496976,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCN(CCc2ccccc2)C1,Ki,'=',10.0,nM
CHEMBL488830,NC(=O)c1cccc2[nH]c([C@H]3CCCN3)nc12,EC50,'=',18.0,nM
CHEMBL495942,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCNCC1,EC50,'=',130.0,nM
CHEMBL47371,Cc1cccc2c(O)nc3cc(C(F)(F)F)c([N+](=O)[O-])cc3c12,IC50,'=',136.0,nM
CHEMBL81977,NC(=O)c1cccc(N)c1,Ki,'=',3100.0,nM
CHEMBL294060,Cc1nc2cccc3c2n1CCNC3=O,Ki,'=',45.0,nM
CHEMBL84096,O=C(CCN1CCCCC1)N1CCc2[nH]c(=O)c3cc(F)ccc3c2C1,IC50,'=',25.0,nM
CHEMBL3943233,NC(=O)C1CCCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)C1,Ki,'=',3.0,nM
CHEMBL3920948,O=C(CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)Nc1ccccc1,Ki,'=',0.6,nM
CHEMBL1986530,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(c2ncccn2)CC1,Ki,'=',0.7,nM
CHEMBL3931972,CC(C)N1CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1,IC50,'=',5.1,nM
CHEMBL3954628,O=C(c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1)N1CCN(CCO)CC1,Ki,'=',8.0,nM
CHEMBL381382,O=C(NC1CCCC1)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,IC50,'=',15.0,nM
CHEMBL202294,CC(C)CNC(=O)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,PF50,'=',2.0,
CHEMBL201616,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCNCC1,PF50,'=',3.7,
CHEMBL335226,NC(=O)c1cccc2[nH]c(-c3ccccc3Cl)nc12,Ki,'=',9.4,nM
CHEMBL4458889,CNCc1ccc(-c2nc3cncc4c3n2CCNC4=O)cc1,PF50,'=',0.6,
CHEMBL4460350,CCNCc1ccc(-c2nc3cncc4c3n2CCNC4=O)cc1,PF50,'=',2.0,
CHEMBL3219282,CN(C)Cc1cc2c([nH]c(=O)c3ccccc32)s1.Cl,IC50,'=',180.0,nM
CHEMBL124815,O=C1NC(CCCl)Oc2ccccc21,IC50,'=',8500.0,nM
CHEMBL4447698,C[C@]1(c2nc3c(C(N)=O)c(F)ccc3[nH]2)CCCN1,IC50,'=',5.7,nM
CHEMBL410733,Nc1cccnc1N1CCN(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CSCC3)CC1,EC50,'=',700.0,nM
CHEMBL417002,CS(=O)(=O)O.O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,IC50,'=',36.0,nM
CHEMBL298450,Oc1nc2cc(Cl)ccc2c2ccc(Cl)cc12,IC50,'=',240.0,nM
CHEMBL597890,NC(=O)c1cccc2c1C(=O)N(C1CCNCC1)C2,Ki,'=',33.0,nM
CHEMBL589506,Cc1cccc(N2Cc3cccc(C(N)=O)c3C2=O)c1,EC50,,,
CHEMBL596713,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncnc3ccccc23)CC1,IC50,'=',1.4,nM
CHEMBL45245,O=c1[nH]c2ccccc2c2ccccc12,IC50,'=',350.0,nM
CHEMBL3959475,NCCOc1c(-c2ccc(N3CCOCC3)c(Br)c2)[nH]c(=O)c2cc(F)ccc12,Kd,'<',10.0,nM
CHEMBL1089474,CC(C)N1CCCCC1c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,EC50,'=',8.0,nM
CHEMBL1089124,NC(=O)c1cccc2[nH]c(-c3ccc([C@H]4CCCCN4)cc3F)nc12,EC50,'=',3.0,nM
CHEMBL1093844,NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCN4)cc3)nc12,Ki,'=',3.0,nM
CHEMBL557411,O=C(c1ccc2c(c1)[nH]c(=O)c1cccn12)N1CCCC1,EC50,'=',280.0,nM
CHEMBL549388,CC(C)NCc1ccc2c(c1)[nH]c(=O)c1cccn12,EC50,'=',14.0,nM
CHEMBL549596,O=c1[nH]c2ccc(CNC3CC3)cc2n2cccc12,EC50,'=',25.0,nM
CHEMBL186776,N/C(=N/O)C1c2cccc3c2N(CCNC3=O)C1c1ccc(F)cc1,Ki,'=',87.0,nM
CHEMBL189670,O=C1NCCn2c(-c3ccccc3)cc3cccc1c32,Ki,'=',14.3,nM
CHEMBL4166130,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2(CNC2)C1,IC50,'=',2395.0,nM
CHEMBL339167,NC(=O)c1cccc2[nH]c(-c3ccc([N+](=O)[O-])cc3)nc12,Ki,'=',8.0,nM
CHEMBL1652712,NC(=O)c1ccc2c(c1)[nH]c(=O)c1ccsc12,IC50,'=',60.0,nM
CHEMBL493498,CCS(=O)(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,IC50,'=',12.0,nM
CHEMBL495483,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCCN(Cc2ccccc2)CC1,IC50,'=',18.0,nM
CHEMBL521815,CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,IC50,'=',13.0,nM
CHEMBL372303,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,IC50,'=',10.9,nM
CHEMBL372303,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,IC50,'=',61.0,nM
CHEMBL2058682,O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F,Ki,'=',0.7,nM
CHEMBL2058915,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C2CCCC2)CC1,Ki,'=',2.5,nM
CHEMBL2058917,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)C2CC2)CC1,Ki,'=',1.3,nM
CHEMBL46196,COC(=O)c1ccc2c(c1)nc(O)c1cc(F)ccc12,IC50,'=',37.0,nM
CHEMBL1767061,Cc1cc2c(NC(=O)c3ccccc3)cccc2c(=O)[nH]1,IC50,'=',16600.0,nM
